Sensor1(mm), Sensor2(mm), Sensor3(mm), ExpectedUtility
------------------------------------------------------------------
991.7303928023625, 201.05365300143825, 185.9516066077408, 0.015625
967.1135429248482, 175.87534462230025, 185.9516066077408, 0.03125
941.5795321238771, 152.81015132032567, 185.9516066077408, 0.046875
916.3730800327085, 126.93830742582493, 185.9516066077408, 0.0625
893.7890668322751, 102.1874991432902, 185.9516066077408, 0.078125
867.7842945883483, 76.67985901315008, 185.9516066077408, 0.09375
844.3798733329475, 56.94240486732356, 185.9516066077408, 0.109375
812.5235282909368, 0.0, 219.25278039488174, 0.125
762.6864256928172, 0.0, 183.01980380765053, 0.140625
698.4670971316242, 0.0, 203.19659626245237, 0.15625
619.1631122862925, 0.0, 249.68502676638468, 0.171875
570.0060021095668, 0.0, 271.0317176125508, 0.1875
526.6812136333074, 0.0, 304.94215485204904, 0.203125
480.587332116307, 0.0, 327.9828849797094, 0.21875
424.608611551993, 0.0, 338.1021191958346, 0.234375
376.68681012154764, 0.0, 363.2241159193865, 0.25
326.43588437757654, 0.0, 382.50463935552483, 0.265625
277.3668070657842, 0.0, 404.9133187713058, 0.28125
228.6292247667835, 0.0, 418.4225022925685, 0.296875
180.4887998516846, 0.0, 443.23276751435435, 0.3125
130.84789626796248, 0.0, 458.47448928506776, 0.328125
81.62852489415181, 0.0, 486.21613098999296, 0.34375
41.029123138178285, 0.0, 513.9908756144782, 0.359375
9.471507189655137, 0.0, 539.7017032123082, 0.375
1.068673417144085, 0.0, 563.012505417943, 0.390625
17.15291221142324, 0.0, 587.9195871551558, 0.40625
17.48784124357688, 0.0, 611.2894570223318, 0.421875
31.488842261777968, 0.0, 636.7069031961555, 0.4375
25.62161796638028, 0.0, 660.9020891981626, 0.453125
25.954208422820884, 0.0, 686.845203697777, 0.46875
27.97435472778144, 0.0, 710.1592803675381, 0.484375
51.155879969607824, 0.0, 711.2329726892588, 0.5
87.07876640821013, 0.0, 710.4829282494783, 0.515625
140.40927080686222, 0.0, 697.1436463751285, 0.53125
166.51775563809557, 0.0, 696.6777622865366, 0.546875
185.38768204781542, 0.0, 676.399702611196, 0.5625
226.75234239059895, 0.0, 613.8692172278687, 0.578125
249.3703827486818, 0.0, 623.7042459202834, 0.59375
274.69905252120196, 0.0, 583.289668149816, 0.609375
300.83144976840356, 0.0, 569.447565425187, 0.625
316.4109257583796, 0.0, 532.8818505669773, 0.640625
343.87769832330696, 0.0, 525.0866723844471, 0.65625
360.37158955548057, 0.0, 489.86431928949105, 0.671875
391.2442599830772, 0.0, 476.41590921797604, 0.6875
411.1736947770288, 0.0, 450.6691873861224, 0.703125
434.69682496031106, 0.0, 426.31286240048263, 0.71875
458.5550692990782, 0.0, 404.18839828249565, 0.734375
481.8440725511111, 0.0, 386.1333153955301, 0.75
