Sensor1(mm), Sensor2(mm), Sensor3(mm), ExpectedUtility
--------------------------------------------------------------------------
595.120862653832, 1189.9304547735558, 636.6239078137107, 1
569.2076494255608, 1133.4012820943394, 636.6239078137107, 0.735758882343
522.2661824948525, 1092.7836227174912, 636.6239078137107, 0.270670566473
482.97131583603027, 1061.3189864375097, 636.6239078137107, 0.0995741367357
457.64961332968346, 1037.1332977336883, 636.6239078137107, 0.0366312777775
432.6508975255698, 1013.1293586551593, 636.6239078137107, 0.0134758939982
408.34530039409395, 988.7591575090831, 636.6239078137107, 0.00495750435333
383.78473638754633, 962.4206001873155, 636.6239078137107, 0.00182376393111
358.8021334254301, 937.4368727622227, 636.6239078137107, 0.000670925255805
333.5872263603528, 912.6696603371186, 636.6239078137107, 0.000246819608173
308.4621974378684, 890.8443790567169, 636.6239078137107, 9.0799859525e-05
284.0796832473662, 863.5948179278971, 636.6239078137107, 3.34034015805e-05
258.766492553701, 841.2858444896476, 636.6239078137107, 1.22884247067e-05
236.76563886074595, 814.4715773027746, 636.6239078137107, 4.52065881396e-06
209.63477205488175, 789.5606916792741, 636.6239078137107, 1.66305743821e-06
184.59646403075112, 765.0822353381722, 636.6239078137107, 6.11804641004e-07
159.8907463216329, 744.6749156339354, 636.6239078137107, 2.25070349439e-07
134.77812145519272, 716.4258732828782, 636.6239078137107, 8.27987543757e-08
109.70870444216462, 693.212172984474, 636.6239078137107, 3.04599594894e-08
84.7257128621396, 668.066566910337, 636.6239078137107, 1.12055928751e-08
60.465844065411154, 645.1220603485217, 636.6239078137107, 4.12230724488e-09
0.0, 591.946059905511, 602.1822442148616, 1.51651208558e-09
0.0, 575.0737527372381, 597.2947062985944, 5.57893618574e-10
0.0, 562.7228343493019, 547.5298907774607, 2.05237592634e-10
0.0, 565.3808751792851, 496.5907559489214, 7.55026908856e-11
0.0, 572.3219052649001, 465.9539580359549, 2.77758877299e-11
0.0, 575.6250669179942, 440.75719084261567, 1.02181780561e-11
0.0, 579.7329394167527, 417.32298406382046, 3.75905763308e-12
0.0, 577.5881706041085, 392.02044961077644, 1.38288002139e-12
0.0, 580.8454175261606, 367.36039340667213, 5.08733129475e-13
